publication,volcano,eruption,data_doi,chemistry,bulk_sio2,bulk_na2o_k2o,glass_sio2,glass_na2o_k2o,chemistry_doi,rock_experiment_type,subaerial_submarine,eff_exp,sample_no,bulk_porosity,connected_porosity,connectivity,permeability_k1,permeability_k2,vesicle_number_density,s_polydispersivity,total_crystallinity,phenocrystallinity,microcrystallinity,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2-T3_4,74.23,69.37,0.935,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2-T3_5,66.49,59.44,0.894,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2-T3_6,70.71,68.45,0.968,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2-T3_7,70.24,61.29,0.873,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_1,63.13,43.41,0.688,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_2,68.24,61.03,0.894,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_1,76.23,69.46,0.911,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_2,71.27,65.64,0.921,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_3,70.08,65.00,0.928,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_4,71.16,67.23,0.945,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_5,75.10,70.00,0.932,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_1,65.24,55.73,0.854,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_2,69.80,59.08,0.846,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_3,66.01,54.88,0.831,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_4,67.58,57.62,0.853,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_5,70.46,63.15,0.896,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_6,65.98,50.39,0.764,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_7,65.73,50.74,0.772,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_8,72.26,67.31,0.931,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_9,70.32,65.37,0.930,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_10,66.36,55.64,0.838,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_11,66.98,52.01,0.777,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_12,70.66,64.24,0.909,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_13,64.50,39.73,0.616,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_14,66.95,56.57,0.845,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_15,65.20,51.93,0.796,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_16,71.52,66.49,0.930,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_17,65.14,54.77,0.841,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_18,61.19,38.56,0.630,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_19,61.47,36.12,0.588,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_20,66.68,57.09,0.856,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T1_21,64.09,48.30,0.754,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T2_1,73.58,64.91,0.882,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T2_2,63.78,46.37,0.727,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T2_3,65.93,57.05,0.865,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T2_4,64.28,52.78,0.821,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T2_5,66.99,55.48,0.828,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T2_6,62.51,46.03,0.736,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_1,61.27,44.19,0.721,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_2,63.59,48.34,0.760,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_3,69.98,62.49,0.893,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_4,65.53,57.53,0.878,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_5,67.76,62.04,0.916,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_6,62.37,44.13,0.708,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_7,66.99,53.43,0.798,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_8,64.49,50.89,0.789,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_9,65.09,52.75,0.810,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_10,68.70,63.17,0.920,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_11,66.37,59.72,0.900,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_12,67.69,57.18,0.845,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_13,63.75,52.73,0.827,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_14,59.21,30.10,0.508,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_15,68.08,54.99,0.808,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_16,68.48,55.14,0.805,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_17,68.26,54.04,0.792,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_18,69.66,65.59,0.942,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_1,70.43,58.80,0.835,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_2,65.34,52.85,0.809,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_3,62.48,47.93,0.767,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_4,67.02,60.92,0.909,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_5,70.41,67.53,0.959,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_6,63.96,46.30,0.724,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_7,66.91,53.72,0.803,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_8,69.46,56.84,0.818,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_9,65.37,54.45,0.833,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T5_10,75.54,70.18,0.929,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_1,62.78,60.13,0.958,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_2,65.05,57.55,0.885,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_3,72.88,69.31,0.951,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_4,70.84,70.20,0.991,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_5,72.88,67.54,0.927,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_6,70.58,61.08,0.865,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_7,74.63,71.44,0.957,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_8,73.58,69.07,0.939,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_9,73.52,70.59,0.960,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_10,69.48,67.51,0.972,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_11,69.09,64.94,0.940,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_12,75.12,73.89,0.984,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_13,75.44,74.81,0.992,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T6_14,71.49,62.84,0.879,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_1,61.61,31.94,0.518,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_3,69.82,59.48,0.852,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_4,67.69,54.59,0.806,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_5,63.74,43.23,0.678,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_6,63.31,43.24,0.683,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_7,66.68,52.03,0.780,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_8,62.21,43.81,0.704,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_9,57.59,31.74,0.551,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_10,63.72,43.48,0.682,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_11,59.77,35.61,0.596,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_12,65.53,55.83,0.852,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_13,68.77,59.87,0.871,,,,,,,,
Colombier et al. 2017a,Chisny,AD 381 BP lava fountaining,https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,CH2_T3_14,65.82,52.96,0.805,,,,,,,,
Song et al. 2001,,Fall deposits in scoria cone,https://doi.org/10.1007/s004450100141 ,Basalt,,,,,,Scoria,Subaerial,Explosive,,83.49,83.46,1.000,,,,,,,,
Song et al. 2001,,Fall deposits in scoria cone,https://doi.org/10.1007/s004450100141 ,Basalt,,,,,,Scoria,Subaerial,Explosive,,73.28,73.24,0.999,,,,,,,,
Rust et al. 1999,Kilauea,Mauna Ulu,https://doi.org/10.1016/S0377-0273(99)00055-4,Basalt,,,,,,Lava flow,Subaerial,Effusive,ULU,55.70,55.40,0.995,,,,,,,,
Rust et al. 1999,Kilauea,Mauna Ulu,https://doi.org/10.1016/S0377-0273(99)00055-4,Basalt,,,,,,Lava flow,Subaerial,Effusive,ULU,56.40,56.40,1.000,,,,,,,,
Rust et al. 1999,Kilauea,Mauna Ulu,https://doi.org/10.1016/S0377-0273(99)00055-4,Basalt,,,,,,Lava flow,Subaerial,Effusive,ULU,52.30,52.20,0.998,,,,,,,,
Rust et al. 1999,Kilauea,Mauna Ulu,https://doi.org/10.1016/S0377-0273(99)00055-4,Basalt,,,,,,Lava flow,Subaerial,Effusive,ULU,58.80,58.90,1.002,,,,,,,,
Rust et al. 1999,Kilauea,Mauna Ulu,https://doi.org/10.1016/S0377-0273(99)00055-4,Basalt,,,,,,Lava flow,Subaerial,Effusive,ULU,57.40,57.10,0.995,,,,,,,,
Rust et al. 1999,Cheakamus,,https://doi.org/10.1016/S0377-0273(99)00055-4,Basalt,,,,,,Lava flow,Subaerial,Effusive,CB,10.30,9.40,0.913,,,,,,,,
Rust et al. 1999,Cheakamus,,https://doi.org/10.1016/S0377-0273(99)00055-4,Basalt,,,,,,Lava flow,Subaerial,Effusive,CB,9.60,8.80,0.917,,,,,,,,
Rust et al. 1999,Cheakamus,,https://doi.org/10.1016/S0377-0273(99)00055-4,Basalt,,,,,,Lava flow,Subaerial,Effusive,CB,27.20,26.50,0.974,,,,,,,,
Rust et al. 1999,Cheakamus,,https://doi.org/10.1016/S0377-0273(99)00055-4,Basalt,,,,,,Lava flow,Subaerial,Effusive,CB,24.10,23.30,0.967,,,,,,,,
Mueller PhD thesis,Anak Krakatau,,,Basaltic andesite,,,,,,Lava flow,Subaerial,Effusive,KRA A11 01,23.07,22.67,0.982,,,,,,,,
Mueller PhD thesis,Anak Krakatau,,,Basaltic andesite,,,,,,Lava flow,Subaerial,Effusive,KRA A11 01b,22.97,21.35,0.929,,,,,,,,
Mueller PhD thesis,Anak Krakatau,,,Basaltic andesite,,,,,,Lava flow,Subaerial,Effusive,KRA D4 01,46.32,45.26,0.977,,,,,,,,
Mueller PhD thesis,Anak Krakatau,,,Basaltic andesite,,,,,,Lava flow,Subaerial,Effusive,KRA D4 02,41.42,41.45,1.001,,,,,,,,
Mueller PhD thesis,Anak Krakatau,,,Basaltic andesite,,,,,,Lava flow,Subaerial,Effusive,KRA D4 03,46.74,46.37,0.992,,,,,,,,
Mueller PhD thesis,Anak Krakatau,,,Basaltic andesite,,,,,,Lava flow,Subaerial,Effusive,KRA D4 04,44.16,43.77,0.991,,,,,,,,
Mueller PhD thesis,Anak Krakatau,,,Basaltic andesite,,,,,,Lava flow,Subaerial,Effusive,KRA D4 05,45.36,45.18,0.996,,,,,,,,
Mueller PhD thesis,Anak Krakatau,,,Basaltic andesite,,,,,,Lava flow,Subaerial,Effusive,KRA D4 06,43.93,43.72,0.995,,,,,,,,
Mueller PhD thesis,Anak Krakatau,,,Basaltic andesite,,,,,,Lava flow,Subaerial,Effusive,KRA D4 07,44.46,44.19,0.994,,,,,,,,
Mueller PhD thesis,Anak Krakatau,,,Basaltic andesite,,,,,,Lava flow,Subaerial,Effusive,KRA D4 08,45.49,45.25,0.995,,,,,,,,
Mueller PhD thesis,Anak Krakatau,,,Basaltic andesite,,,,,,Lava flow,Subaerial,Effusive,KRA D4 09,45.00,44.67,0.993,,,,,,,,
Mueller PhD thesis,Stromboli,,,Basalt,,,,,,Lava flow,Subaerial,Effusive,STR_Br249,49.39,50.14,1.015,,,,,,,,
Mueller PhD thesis,Stromboli,,,Basalt,,,,,,Lava flow,Subaerial,Effusive,Stbr02,71.95,72.87,1.013,,,,,,,,
Mueller PhD thesis,Stromboli,,,Basalt,,,,,,Lava flow,Subaerial,Effusive,Stbr03,58.70,59.90,1.020,,,,,,,,
Mueller PhD thesis,Stromboli,,,Basalt,,,,,,Lava flow,Subaerial,Effusive,Stbr04,62.30,63.18,1.014,,,,,,,,
Mueller PhD thesis,Stromboli,,,Basalt,,,,,,Lava flow,Subaerial,Effusive,STR_Bi,80.50,81.24,1.009,,,,,,,,
Mueller PhD thesis,Stromboli,,,Basalt,,,,,,Lava flow,Subaerial,Effusive,Str_Bi03,66.05,68.95,1.044,,,,,,,,
Song et al. 2001,,,https://doi.org/10.1007/s004450100141 ,Basalt,,,,,,Lava flow,Subaerial,Effusive,,44.47,41.23,0.927,,,,,,,,
Song et al. 2001,,,https://doi.org/10.1007/s004450100141 ,Basalt,,,,,,Lava flow,Subaerial,Effusive,,46.00,45.39,0.987,,,,,,,,
Song et al. 2001,,,https://doi.org/10.1007/s004450100141 ,Basalt,,,,,,Lava flow,Subaerial,Effusive,,18.02,17.17,0.953,,,,,,,,
Giachetti et al. 2010,Soufriere Hills Volcano,1997 Vulcanian,https://doi.org/10.1016/j.jvolgeores.2010.04.001 ,Andesite,,,,,,Breadcrust bomb - rind,Subaerial,Explosive,BCP1,7.50,,,,,,,,,,
Giachetti et al. 2010,Soufriere Hills Volcano,1997 Vulcanian,https://doi.org/10.1016/j.jvolgeores.2010.04.001 ,Andesite,,,,,,Breadcrust bomb - rind,Subaerial,Explosive,BCP10,2.40,,,,,,,,,,
Giachetti et al. 2010,Soufriere Hills Volcano,1997 Vulcanian,https://doi.org/10.1016/j.jvolgeores.2010.04.001 ,Andesite,,,,,,Breadcrust bomb - rind,Subaerial,Explosive,BCP 12,5.80,,,,,,,,,,
Giachetti et al. 2010,Soufriere Hills Volcano,1997 Vulcanian,https://doi.org/10.1016/j.jvolgeores.2010.04.001 ,Andesite,,,,,,Breadcrust bomb - rind,Subaerial,Explosive,BCP 13b,9.60,,,,,,,,,,
Giachetti et al. 2010,Soufriere Hills Volcano,1997 Vulcanian,https://doi.org/10.1016/j.jvolgeores.2010.04.001 ,Andesite,,,,,,Breadcrust bomb - rind,Subaerial,Explosive,BCP 13a,9.60,,,,,,,,,,
Giachetti et al. 2010,Soufriere Hills Volcano,1997 Vulcanian,https://doi.org/10.1016/j.jvolgeores.2010.04.001 ,Andesite,,,,,,Breadcrust bomb - rind,Subaerial,Explosive,BCP 14,6.00,,,,,,,,,,
Giachetti et al. 2010,Soufriere Hills Volcano,1997 Vulcanian,https://doi.org/10.1016/j.jvolgeores.2010.04.001 ,Andesite,,,,,,Breadcrust bomb - rind,Subaerial,Explosive,BCP 17,24.80,,,,,,,,,,
